genome_id	genus	species	source_type
LABG_000301	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000302	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000303	Lactobacillus	Lactobacillus panisapium	animal
LABG_000304	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000305	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000306	Lactobacillus	Lactobacillus panisapium	animal
LABG_000307	Lactobacillus	Lactobacillus panisapium	animal
LABG_000308	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000309	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000310	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000311	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000312	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000313	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000314	Lactobacillus	Lactobacillus panisapium	animal
LABG_000315	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000316	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000317	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000318	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000319	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000320	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000321	Lactobacillus	Lactobacillus panisapium	animal
LABG_000322	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000323	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000324	Lactobacillus	Lactobacillus panisapium	animal
LABG_000325	Lactobacillus	Lactobacillus panisapium	animal
LABG_000326	Lactobacillus	Lactobacillus panisapium	animal
LABG_000327	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000328	Lactobacillus	Lactobacillus panisapium	animal
LABG_000329	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000330	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000331	Lactobacillus	Lactobacillus panisapium	animal
LABG_000332	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000333	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000334	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000335	Lactobacillus	Lactobacillus panisapium	animal
LABG_000336	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000337	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000338	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000339	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000340	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000341	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000342	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000343	Limosilactobacillus	Limosilactobacillus portuensis	human
LABG_000344	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000345	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000346	Lactobacillus	Lactobacillus paragasseri	human
LABG_000347	Lactobacillus	Lactobacillus sp948500755	animal
LABG_000348	Limosilactobacillus	Limosilactobacillus reuteri_G	animal
LABG_000349	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000350	Leuconostoc		food
LABG_000351	Fructilactobacillus		food
LABG_000352	Lentilactobacillus	Lentilactobacillus hilgardii	food
LABG_000353	Fructilactobacillus		food
LABG_000354	Fructilactobacillus		food
LABG_000355	Lentilactobacillus	Lentilactobacillus hilgardii	food
LABG_000356	Fructilactobacillus		food
LABG_000357	Limosilactobacillus	Limosilactobacillus reuteri_E	other
LABG_000358	Lactobacillus	Lactobacillus johnsonii	other
LABG_000359	Limosilactobacillus	Limosilactobacillus mucosae	other
LABG_000360	Limosilactobacillus	Limosilactobacillus mucosae	other
LABG_000361	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000362	Limosilactobacillus	Limosilactobacillus sp039955095	human
LABG_000363	Lactobacillus	Lactobacillus delbrueckii_B	human
LABG_000364	Lactobacillus	Lactobacillus paragasseri	human
LABG_000365	Lactobacillus	Lactobacillus paragasseri	human
LABG_000366	Limosilactobacillus	Limosilactobacillus sp039955095	human
LABG_000367	Lactobacillus	Lactobacillus delbrueckii_B	human
LABG_000368	Lactobacillus	Lactobacillus paragasseri	human
LABG_000369	Lactobacillus	Lactobacillus jensenii	human
LABG_000370	Limosilactobacillus	Limosilactobacillus fermentum	human
LABG_000371	Fructilactobacillus	Fructilactobacillus sanfranciscensis	food
LABG_000372	Fructilactobacillus	Fructilactobacillus sanfranciscensis	food
LABG_000373	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000374	Ligilactobacillus	Ligilactobacillus salivarius	human
LABG_000375	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000376	Ligilactobacillus	Ligilactobacillus ruminis	human
