genus	species	source_type	ARG_negative_n	ARG_positive_n	source_n	ARG_positive_rate	fdr	significant	max_rate_difference
Latilactobacillus	Latilactobacillus sakei	other	53	6	59	0.1016949152542373	0.08741258741258738	FALSE	0.2
Lentilactobacillus	Lentilactobacillus buchneri	animal	10	0	10	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus buchneri	human	5	0	5	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus buchneri	food	59	0	59	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus buchneri	other	9	0	9	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus hilgardii	human	10	0	10	0	1	FALSE	0.019417475728155338
Lentilactobacillus	Lentilactobacillus hilgardii	food	101	2	103	0.019417475728155338	1	FALSE	0.019417475728155338
Lentilactobacillus	Lentilactobacillus hilgardii	other	8	0	8	0	1	FALSE	0.019417475728155338
Lentilactobacillus	Lentilactobacillus kefiri	food	48	0	48	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus kefiri	other	7	0	7	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus parabuchneri	human	32	0	32	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus parabuchneri	food	108	0	108	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus parabuchneri	other	5	0	5	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus parafarraginis	human	13	0	13	0	1	FALSE	0
Lentilactobacillus	Lentilactobacillus parafarraginis	food	10	0	10	0	1	FALSE	0
Leuconostoc	Leuconostoc carnosum	food	32	0	32	0	1	FALSE	0
Leuconostoc	Leuconostoc carnosum	other	5	0	5	0	1	FALSE	0
Leuconostoc	Leuconostoc citreum	animal	22	0	22	0	0.08741258741258738	FALSE	0.07476635514018691
Leuconostoc	Leuconostoc citreum	human	99	8	107	0.07476635514018691	0.08741258741258738	FALSE	0.07476635514018691
Leuconostoc	Leuconostoc citreum	food	69	0	69	0	0.08741258741258738	FALSE	0.07476635514018691
Leuconostoc	Leuconostoc citreum	other	48	0	48	0	0.08741258741258738	FALSE	0.07476635514018691
Leuconostoc	Leuconostoc falkenbergense	food	155	0	155	0	1	FALSE	0
Leuconostoc	Leuconostoc falkenbergense	other	13	0	13	0	1	FALSE	0
